run_accession	sample_accession	country	collection_date	instrument_model	library_strategy	read_count	fastq_ftp
SRR33541352	SAMN48433949	Pakistan:Sargodha	2023-10-03	NextSeq 2000	WGS	11977034	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/052/SRR33541352/SRR33541352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/052/SRR33541352/SRR33541352_2.fastq.gz
SRR33541354	SAMN48433947	Pakistan:Multan	2023-09-29	NextSeq 2000	WGS	349415	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/054/SRR33541354/SRR33541354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/054/SRR33541354/SRR33541354_2.fastq.gz
SRR33541357	SAMN48433944	Pakistan:Karachi	2023-09-20	NextSeq 2000	WGS	384144	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/057/SRR33541357/SRR33541357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/057/SRR33541357/SRR33541357_2.fastq.gz
SRR33541360	SAMN48433844	Pakistan:Karachi	2023-01-20	NextSeq 2000	WGS	7942195	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/060/SRR33541360/SRR33541360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/060/SRR33541360/SRR33541360_2.fastq.gz
SRR15606787	SAMN18615001	Pakistan: Rawalpindi	2019-12-02	Illumina HiSeq 2500	WGS	1757315	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/087/SRR15606787/SRR15606787.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/087/SRR15606787/SRR15606787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/087/SRR15606787/SRR15606787_2.fastq.gz
SRR1610074	SAMN03074796	Pakistan: Islamabad	2012-02	Illumina HiSeq 2500	WGS	360558	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/004/SRR1610074/SRR1610074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/004/SRR1610074/SRR1610074_2.fastq.gz
SRR1610075	SAMN03074797	Pakistan: Islamabad	2012-02	Illumina HiSeq 2500	WGS	1152936	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/005/SRR1610075/SRR1610075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/005/SRR1610075/SRR1610075_2.fastq.gz
SRR1610077	SAMN03074799	Pakistan: Islamabad	2012-02	Illumina HiSeq 2500	WGS	1195057	ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/007/SRR1610077/SRR1610077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/007/SRR1610077/SRR1610077_2.fastq.gz
SRR29468200	SAMN41915027	Pakistan: Khyber Pakhtunkhwa	2022	Illumina MiSeq	WGS	347798	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/000/SRR29468200/SRR29468200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/000/SRR29468200/SRR29468200_2.fastq.gz
ERR10431515	SAMEA111505365	Pakistan	2020-08-13	NextSeq 500	WGS	1871376	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/015/ERR10431515/ERR10431515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/015/ERR10431515/ERR10431515_2.fastq.gz
ERR10431530	SAMEA111505371	Pakistan	2020-08-22	NextSeq 500	WGS	4329832	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/030/ERR10431530/ERR10431530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/030/ERR10431530/ERR10431530_2.fastq.gz
ERR10431535	SAMEA111505373	Pakistan	2020-08-25	NextSeq 500	WGS	2890276	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/035/ERR10431535/ERR10431535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/035/ERR10431535/ERR10431535_2.fastq.gz
ERR10431544	SAMEA111505368	Pakistan	2020-08-16	NextSeq 500	WGS	8019740	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/044/ERR10431544/ERR10431544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/044/ERR10431544/ERR10431544_2.fastq.gz
ERR14800256	SAMEA117969183	Pakistan	not collected	NextSeq 500	WGS	3108820	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/056/ERR14800256/ERR14800256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/056/ERR14800256/ERR14800256_2.fastq.gz
ERR14800272	SAMEA117969199	Pakistan	not collected	NextSeq 500	WGS	2152570	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/072/ERR14800272/ERR14800272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/072/ERR14800272/ERR14800272_2.fastq.gz
